case,input_mean_abs,input_rms,input_max_abs,output_mean_abs,output_rms,output_max_abs,has_nan,has_inf
constant,1,1,1,1,1,1,false,false
single_tone,1,1,1,1,1,1,false,false
random,0.766335,0.818364,1.40365,0.751143,0.818364,1.97621,false,false
real_p0_b0_q0_ch1,2474.93,2812.63,8876.74,2475.53,2812.63,9068.38,false,false
real_p0_b0_q0_ch2,3855.42,4368.07,12034.8,3853.34,4368.07,14246.6,false,false
real_p0_b0_q1_ch1,1608.52,1825.68,5814.45,1607.36,1825.68,6472.19,false,false
real_p0_b0_q1_ch2,1896.56,2162.77,6790.53,1895.22,2162.77,6882.88,false,false
real_p0_b0_q2_ch1,2212.12,2505.97,7927.85,2212.89,2505.97,8561.48,false,false
real_p0_b0_q2_ch2,3397.58,3860.25,11944.3,3395.54,3860.25,12415.1,false,false
real_p0_b1_q0_ch1,2554.2,2917.09,10748.6,2557.06,2917.09,11625.8,false,false
real_p0_b1_q0_ch2,3596.1,4091.6,11839.8,3599.3,4091.6,12451.1,false,false
real_p0_b1_q1_ch1,2109.55,2412.87,10068.7,2109.44,2412.87,9962.31,false,false
real_p0_b1_q1_ch2,2705.82,3081.5,8924.06,2704.59,3081.5,10118,false,false
real_p0_b1_q2_ch1,2416.87,2752.61,9639.85,2418.21,2752.61,9561.11,false,false
real_p0_b1_q2_ch2,3351.15,3821.78,12137.6,3350.81,3821.78,12583.2,false,false
real_p0_b2_q0_ch1,2609.41,2970.38,8304.08,2606.99,2970.38,9522.24,false,false
real_p0_b2_q0_ch2,3832.97,4345.04,13373,3828.91,4345.04,13146.9,false,false
real_p0_b2_q1_ch1,2363.03,2700.75,9641.86,2363.03,2700.75,9997.67,false,false
real_p0_b2_q1_ch2,3436.32,3895.97,11307,3434.14,3895.97,11649.9,false,false
real_p0_b2_q2_ch1,2561.12,2920.38,8886.18,2562.82,2920.38,9488.94,false,false
real_p0_b2_q2_ch2,3710.12,4212.48,11263.5,3706.57,4212.48,12421.9,false,false
